x-axis,1,2,F1
second,Volt,Ampere,Watt
+218.32500E-03,-233.16583443E+00,-2.73366831E+00,+659.02709961E+00
+218.35000E-03,-233.16583443E+00,-2.73366831E+00,+646.45385742E+00
+218.37500E-03,-225.12563324E+00,-2.77386932E+00,+646.45385742E+00
+218.40000E-03,-222.86432666E+00,-2.78517585E+00,+633.20922852E+00
+218.42500E-03,-220.85427636E+00,-2.81407032E+00,+630.05065919E+00
+218.45000E-03,-217.08543205E+00,-2.85427133E+00,+621.20246888E+00
+218.47500E-03,-216.83417577E+00,-2.89321605E+00,+628.02124023E+00
+218.50000E-03,-209.04523087E+00,-2.89447233E+00,+613.18969727E+00
+218.52500E-03,-205.27638655E+00,-2.91582911E+00,+602.11753844E+00
+218.55000E-03,-194.72362251E+00,-2.96608037E+00,+597.62573242E+00
+218.57500E-03,-192.96482849E+00,-2.97487434E+00,+581.27021790E+00
+218.60000E-03,-192.96482849E+00,-3.01507534E+00,+581.51245117E+00
+218.62500E-03,-188.69347162E+00,-3.03643213E+00,+576.22909547E+00
+218.65000E-03,-176.88442612E+00,-3.05527635E+00,+566.34330750E+00
+218.67500E-03,-176.88442612E+00,-3.05653263E+00,+547.27172852E+00
+218.70000E-03,-174.62311954E+00,-3.09547735E+00,+554.35180664E+00
+218.72500E-03,-168.84422493E+00,-3.13567836E+00,+535.98022461E+00
+218.75000E-03,-160.80402374E+00,-3.17587936E+00,+535.98022461E+00
+218.77500E-03,-160.55276746E+00,-3.17713564E+00,+516.87622070E+00
+218.80000E-03,-152.76382256E+00,-3.21608037E+00,+516.87622070E+00
+218.82500E-03,-144.72362137E+00,-3.23743715E+00,+497.16186523E+00
+218.85000E-03,-144.72362137E+00,-3.25628137E+00,+471.03881836E+00
+218.87500E-03,-136.68342018E+00,-3.29522610E+00,+476.83715820E+00
+218.90000E-03,-128.64321899E+00,-3.29648238E+00,+450.34790039E+00
+218.92500E-03,-128.64321899E+00,-3.33668338E+00,+441.60652162E+00
+218.95000E-03,-120.60301781E+00,-3.33668338E+00,+402.19116211E+00
+218.97500E-03,-120.35176152E+00,-3.37562810E+00,+407.07397461E+00
+219.00000E-03,-112.56281662E+00,-3.37688439E+00,+379.91333008E+00
+219.02500E-03,-104.52261543E+00,-3.39824117E+00,+384.42993164E+00
+219.05000E-03,-104.52261543E+00,-3.41708539E+00,+356.96411133E+00
+219.07500E-03,-96.48241425E+00,-3.41708539E+00,+333.40454102E+00
+219.10000E-03,-90.70351964E+00,-3.45728640E+00,+333.40454102E+00
+219.12500E-03,-84.67336875E+00,-3.45728640E+00,+305.63354492E+00
+219.15000E-03,-80.40201187E+00,-3.45728640E+00,+281.03637695E+00
+219.17500E-03,-72.61306697E+00,-3.45854268E+00,+281.03637695E+00
+219.20000E-03,-72.36181068E+00,-3.49748740E+00,+252.96020508E+00
+219.22500E-03,-68.59296637E+00,-3.49748740E+00,+252.96020508E+00
+219.25000E-03,-64.32160950E+00,-3.49748740E+00,+224.82299805E+00
+219.27500E-03,-56.03015203E+00,-3.49748740E+00,+226.48811342E+00
+219.30000E-03,-48.24120712E+00,-3.49748740E+00,+196.74682617E+00
+219.32500E-03,-48.24120712E+00,-3.49748740E+00,+169.64721680E+00
+219.35000E-03,-40.20100594E+00,-3.49748740E+00,+162.81509398E+00
+219.37500E-03,-39.94974965E+00,-3.53643212E+00,+142.12036133E+00
+219.40000E-03,-34.42211133E+00,-3.50879393E+00,+142.12036133E+00
+219.42500E-03,-32.16080475E+00,-3.49748740E+00,+112.39624023E+00
