x-axis,F1
Hertz,decibel
+106.0000E+00,-74.97902E+00
+106.2500E+00,-80.26888E+00
+106.5000E+00,-77.80208E+00
+106.7500E+00,-80.78562E+00
+107.0000E+00,-80.57509E+00
+107.2500E+00,-83.61867E+00
+107.5000E+00,-83.52390E+00
+107.7500E+00,-82.02854E+00
+108.0000E+00,-84.52098E+00
+108.2500E+00,-79.03588E+00
+108.5000E+00,-73.46709E+00
+108.7500E+00,-77.40301E+00
+109.0000E+00,-76.40831E+00
+109.2500E+00,-85.69387E+00
+109.5000E+00,-76.84920E+00
+109.7500E+00,-84.45276E+00
+110.0000E+00,-84.53333E+00
+110.2500E+00,-77.57072E+00
+110.5000E+00,-76.47201E+00
+110.7500E+00,-76.68483E+00
+111.0000E+00,-80.27368E+00
+111.2500E+00,-79.82785E+00
+111.5000E+00,-81.99570E+00
+111.7500E+00,-89.43791E+00
+112.0000E+00,-86.03722E+00
+112.2500E+00,-78.20579E+00
+112.5000E+00,-76.48341E+00
+112.7500E+00,-78.98781E+00
+113.0000E+00,-82.36512E+00
+113.2500E+00,-80.25951E+00
+113.5000E+00,-85.50492E+00
+113.7500E+00,-80.75508E+00
+114.0000E+00,-80.26904E+00
+114.2500E+00,-80.87942E+00
+114.5000E+00,-81.44501E+00
+114.7500E+00,-82.94459E+00
+115.0000E+00,-82.58138E+00
+115.2500E+00,-92.80221E+00
+115.5000E+00,-87.85684E+00
+115.7500E+00,-80.59912E+00
+116.0000E+00,-77.64521E+00
+116.2500E+00,-78.17765E+00
+116.5000E+00,-75.81541E+00
+116.7500E+00,-79.88554E+00
+117.0000E+00,-85.43231E+00
+117.2500E+00,-85.75216E+00
+117.5000E+00,-77.86590E+00
+117.7500E+00,-78.07080E+00
+118.0000E+00,-84.64578E+00
+118.2500E+00,-78.96080E+00
+118.5000E+00,-80.07634E+00
+118.7500E+00,-81.98589E+00
+119.0000E+00,-82.32970E+00
+119.2500E+00,-78.98073E+00
+119.5000E+00,-85.41647E+00
+119.7500E+00,-83.06867E+00
+120.0000E+00,-87.79175E+00
+120.2500E+00,-82.73423E+00
+120.5000E+00,-90.34828E+00
+120.7500E+00,-84.06936E+00
+121.0000E+00,-81.67350E+00
+121.2500E+00,-79.02442E+00
+121.5000E+00,-85.53742E+00
+121.7500E+00,-85.92698E+00
+122.0000E+00,-83.50355E+00
+122.2500E+00,-84.39440E+00
+122.5000E+00,-81.73301E+00
+122.7500E+00,-72.20790E+00
+123.0000E+00,-77.33382E+00
+123.2500E+00,-86.49785E+00
+123.5000E+00,-84.73318E+00
+123.7500E+00,-85.16237E+00
+124.0000E+00,-82.92835E+00
+124.2500E+00,-89.83794E+00
+124.5000E+00,-79.98008E+00
+124.7500E+00,-73.37097E+00
+125.0000E+00,-90.58755E+00
+125.2500E+00,-75.54236E+00
+125.5000E+00,-74.60190E+00
+125.7500E+00,-79.40258E+00
+126.0000E+00,-80.30381E+00
+126.2500E+00,-76.46740E+00
+126.5000E+00,-76.94140E+00
+126.7500E+00,-83.72007E+00
